time,type
2022-07-06 15:00:00,JAM
2022-07-07 10:00:00,JAM
2022-07-07 16:00:00,JAM
2022-07-07 17:00:00,JAM
2022-07-07 18:00:00,JAM
2022-07-08 07:00:00,JAM
2022-07-08 15:00:00,JAM
2022-07-08 16:00:00,JAM
2022-07-08 17:00:00,JAM
2022-07-08 18:00:00,JAM
2022-07-08 21:00:00,JAM
2022-07-08 22:00:00,JAM
2022-07-09 16:00:00,JAM
2022-07-09 20:00:00,WEATHERHAZARD
2022-07-09 21:00:00,WEATHERHAZARD
2022-07-10 16:00:00,JAM
2022-07-10 17:00:00,JAM
2022-07-11 06:00:00,JAM
2022-07-12 06:00:00,JAM
2022-07-12 17:00:00,JAM
2022-07-12 18:00:00,JAM
2022-07-13 07:00:00,JAM
2022-07-13 08:00:00,JAM
2022-07-13 09:00:00,WEATHERHAZARD
2022-07-13 10:00:00,JAM
2022-07-13 10:00:00,WEATHERHAZARD
2022-07-13 14:00:00,JAM
2022-07-13 14:00:00,WEATHERHAZARD
2022-07-13 15:00:00,WEATHERHAZARD
2022-07-13 16:00:00,WEATHERHAZARD
2022-07-13 17:00:00,JAM
2022-07-13 17:00:00,WEATHERHAZARD
2022-07-13 19:00:00,JAM
2022-07-13 23:00:00,WEATHERHAZARD
2022-07-13 23:00:00,JAM
2022-07-14 17:00:00,JAM
2022-07-15 06:00:00,JAM
2022-07-15 06:00:00,WEATHERHAZARD
2022-07-15 07:00:00,WEATHERHAZARD
2022-07-15 19:00:00,JAM
2022-07-15 20:00:00,JAM
2022-07-16 06:00:00,JAM
2022-07-16 07:00:00,JAM
2022-07-16 10:00:00,JAM
2022-07-16 11:00:00,JAM
2022-07-16 12:00:00,JAM
2022-07-16 13:00:00,JAM
2022-07-16 14:00:00,JAM
2022-07-16 15:00:00,JAM
2022-07-16 16:00:00,JAM
2022-07-16 17:00:00,JAM
2022-07-16 18:00:00,WEATHERHAZARD
2022-07-16 19:00:00,JAM
2022-07-16 19:00:00,WEATHERHAZARD
2022-07-16 20:00:00,JAM
2022-07-16 21:00:00,JAM
2022-07-16 22:00:00,JAM
2022-07-17 11:00:00,JAM
2022-07-17 12:00:00,JAM
2022-07-17 15:00:00,JAM
2022-07-17 16:00:00,JAM
2022-07-17 18:00:00,JAM
2022-07-17 19:00:00,JAM
2022-07-18 05:00:00,JAM
2022-07-18 06:00:00,JAM
2022-07-18 08:00:00,JAM
2022-07-18 14:00:00,JAM
2022-07-19 06:00:00,JAM
2022-07-19 07:00:00,JAM
2022-07-20 07:00:00,JAM
2022-07-20 17:00:00,JAM
2022-07-20 18:00:00,JAM
2022-07-21 05:00:00,JAM
2022-07-21 06:00:00,JAM
2022-07-21 07:00:00,JAM
2022-07-21 17:00:00,JAM
2022-07-21 18:00:00,JAM
2022-07-22 05:00:00,JAM
2022-07-22 06:00:00,JAM
2022-07-22 07:00:00,JAM
2022-07-22 08:00:00,JAM
2022-07-22 10:00:00,JAM
2022-07-22 10:00:00,WEATHERHAZARD
2022-07-22 11:00:00,WEATHERHAZARD
2022-07-22 17:00:00,JAM
2022-07-22 18:00:00,JAM
2022-07-23 13:00:00,JAM
2022-07-23 14:00:00,JAM
2022-07-23 15:00:00,JAM
2022-07-23 16:00:00,JAM
2022-07-23 17:00:00,JAM
2022-07-23 18:00:00,JAM
2022-07-23 18:00:00,WEATHERHAZARD
2022-07-23 20:00:00,JAM
2022-07-23 21:00:00,JAM
2022-07-24 14:00:00,JAM
2022-07-24 15:00:00,JAM
2022-07-24 19:00:00,JAM
2022-07-24 20:00:00,JAM
2022-07-25 06:00:00,JAM
2022-07-25 07:00:00,JAM
2022-07-25 08:00:00,JAM
2022-07-25 17:00:00,JAM
2022-07-25 18:00:00,JAM
2022-07-25 19:00:00,JAM
2022-07-27 06:00:00,JAM
2022-07-27 07:00:00,ACCIDENT
2022-07-27 07:00:00,JAM
2022-07-27 07:00:00,WEATHERHAZARD
2022-07-27 08:00:00,ACCIDENT
2022-07-27 08:00:00,JAM
2022-07-27 08:00:00,WEATHERHAZARD
2022-07-27 09:00:00,JAM
2022-07-27 16:00:00,JAM
2022-07-27 16:00:00,WEATHERHAZARD
2022-07-28 05:00:00,JAM
2022-07-28 06:00:00,JAM
2022-07-28 07:00:00,JAM
2022-07-28 07:00:00,WEATHERHAZARD
2022-07-28 08:00:00,JAM
2022-07-28 08:00:00,WEATHERHAZARD
2022-07-28 11:00:00,JAM
2022-07-28 11:00:00,WEATHERHAZARD
2022-07-28 12:00:00,WEATHERHAZARD
2022-07-28 18:00:00,JAM
2022-07-28 19:00:00,JAM
2022-07-29 06:00:00,JAM
2022-07-29 07:00:00,JAM
2022-07-29 13:00:00,JAM
2022-07-29 16:00:00,JAM
2022-07-29 17:00:00,JAM
2022-07-29 18:00:00,JAM
2022-07-29 19:00:00,JAM
2022-07-29 20:00:00,JAM
2022-07-29 21:00:00,JAM
2022-07-29 22:00:00,JAM
2022-07-30 09:00:00,JAM
2022-07-30 16:00:00,JAM
2022-07-30 17:00:00,JAM
2022-07-31 11:00:00,JAM
2022-07-31 15:00:00,JAM
2022-07-31 16:00:00,JAM
2022-07-31 17:00:00,JAM
2022-07-31 18:00:00,JAM
2022-07-31 20:00:00,JAM
2022-07-31 21:00:00,JAM
2022-08-01 06:00:00,JAM
2022-08-01 07:00:00,JAM
2022-08-01 16:00:00,JAM
2022-08-01 17:00:00,JAM
2022-08-02 05:00:00,JAM
2022-08-02 05:00:00,WEATHERHAZARD
2022-08-02 06:00:00,JAM
2022-08-02 06:00:00,WEATHERHAZARD
2022-08-02 07:00:00,JAM
2022-08-02 08:00:00,JAM
2022-08-03 06:00:00,JAM
2022-08-03 07:00:00,JAM
2022-08-03 07:00:00,WEATHERHAZARD
2022-08-03 08:00:00,JAM
2022-08-03 08:00:00,WEATHERHAZARD
2022-08-03 09:00:00,WEATHERHAZARD
2022-08-03 13:00:00,JAM
2022-08-03 13:00:00,WEATHERHAZARD
2022-08-03 15:00:00,JAM
2022-08-03 16:00:00,JAM
2022-08-04 14:00:00,JAM
2022-08-05 05:00:00,JAM
2022-08-05 06:00:00,JAM
2022-08-05 07:00:00,JAM
2022-08-05 13:00:00,JAM
2022-08-05 14:00:00,JAM
2022-08-05 17:00:00,JAM
2022-08-05 18:00:00,JAM
2022-08-05 19:00:00,JAM
2022-08-06 04:00:00,WEATHERHAZARD
2022-08-06 05:00:00,WEATHERHAZARD
2022-08-06 09:00:00,JAM
2022-08-06 10:00:00,JAM
2022-08-06 13:00:00,JAM
2022-08-06 14:00:00,JAM
2022-08-06 17:00:00,JAM
2022-08-06 17:00:00,WEATHERHAZARD
2022-08-06 18:00:00,JAM
2022-08-06 19:00:00,JAM
2022-08-07 19:00:00,JAM
2022-08-08 06:00:00,JAM
2022-08-08 07:00:00,JAM
2022-08-09 10:00:00,ACCIDENT
2022-08-09 11:00:00,ACCIDENT
2022-08-09 16:00:00,JAM
2022-08-09 17:00:00,JAM
2022-08-10 06:00:00,JAM
2022-08-10 06:00:00,WEATHERHAZARD
2022-08-10 07:00:00,WEATHERHAZARD
2022-08-10 08:00:00,JAM
2022-08-11 06:00:00,JAM
2022-08-11 07:00:00,JAM
2022-08-11 08:00:00,JAM
2022-08-11 11:00:00,JAM
2022-08-11 15:00:00,ACCIDENT
2022-08-11 16:00:00,ACCIDENT
2022-08-12 11:00:00,JAM
2022-08-12 12:00:00,JAM
2022-08-12 13:00:00,JAM
2022-08-12 14:00:00,JAM
2022-08-12 21:00:00,JAM
2022-08-13 11:00:00,JAM
2022-08-13 14:00:00,JAM
2022-08-13 16:00:00,JAM
2022-08-13 17:00:00,JAM
2022-08-14 16:00:00,JAM
2022-08-14 19:00:00,WEATHERHAZARD
2022-08-14 20:00:00,WEATHERHAZARD
2022-08-15 05:00:00,JAM
2022-08-15 06:00:00,JAM
2022-08-15 17:00:00,JAM
2022-08-15 18:00:00,JAM
2022-08-16 09:00:00,JAM
2022-08-16 10:00:00,JAM
2022-08-16 11:00:00,ACCIDENT
2022-08-16 21:00:00,JAM
2022-08-18 06:00:00,JAM
2022-08-18 07:00:00,JAM
2022-08-18 19:00:00,JAM
2022-08-18 20:00:00,JAM
2022-08-19 06:00:00,JAM
2022-08-19 07:00:00,JAM
2022-08-20 08:00:00,JAM
2022-08-20 16:00:00,JAM
2022-08-20 17:00:00,JAM
2022-08-21 17:00:00,JAM
2022-08-22 06:00:00,JAM
2022-08-22 07:00:00,JAM
2022-08-22 08:00:00,JAM
2022-08-22 10:00:00,JAM
2022-08-22 11:00:00,JAM
2022-08-22 16:00:00,JAM
2022-08-22 17:00:00,JAM
2022-08-22 18:00:00,JAM
