,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
214,2022-07-07 19:00:00,862.0,588.0,20.345001,663.0,4.9750004,4.0
215,2022-07-07 19:00:00,1927.0,621.0,25.19,778.0,9.014999,3.0
232,2022-07-07 20:00:00,2888.0,263.0,32.17,504.0,17.59,2.0
233,2022-07-07 20:00:00,1805.0,359.5,27.865,510.5,12.85,3.0
234,2022-07-07 20:00:00,607.0,310.0,21.13,364.0,6.07,4.0
245,2022-07-07 21:00:00,1457.0,133.0,30.68,256.0,18.4,2.0
623,2022-07-13 16:00:00,1007.0,387.0,36.47,471.0,7.0,4.0
629,2022-07-13 16:00:00,1180.0,352.5,36.19,451.0,9.360001,3.0
667,2022-07-13 18:00:00,3412.0,207.0,30.3,477.0,25.735,1.0
668,2022-07-13 18:00:00,3373.0,347.5,29.365,614.5,19.615,2.0
670,2022-07-13 18:00:00,5198.0,740.0,24.77,1225.0,15.26,3.0
865,2022-07-15 17:00:00,2691.0,319.5,27.43,526.5,18.33,3.0
1067,2022-07-16 13:00:00,2014.0,408.0,27.96,567.0,12.34,3.0
1069,2022-07-16 13:00:00,908.0,666.0,9.09,743.0,4.425,4.0
1148,2022-07-16 14:00:00,1501.0,335.5,18.255001,440.5,11.16,3.0
1150,2022-07-16 14:00:00,908.0,536.0,11.8,626.5,5.5299997,4.0
1200,2022-07-16 15:00:00,1675.0,289.0,21.880001,424.0,14.59,3.0
1201,2022-07-16 15:00:00,795.0,508.0,16.07,560.5,4.95,4.0
1250,2022-07-16 16:00:00,1432.5,471.5,19.8,590.0,9.0,3.0
1251,2022-07-16 16:00:00,1205.0,456.0,16.64,544.0,6.82,4.0
1266,2022-07-16 17:00:00,1869.0,447.0,16.8,575.0,11.53,3.0
1267,2022-07-16 17:00:00,1080.0,565.0,12.49,664.0,7.04,4.0
1331,2022-07-16 18:00:00,3807.0,462.5,21.759998,755.5,17.93,2.0
1332,2022-07-16 18:00:00,2173.0,462.0,21.895,632.0,12.3,3.0
1333,2022-07-16 18:00:00,999.0,533.0,13.74,652.0,5.68,4.0
1457,2022-07-17 13:00:00,1080.0,597.5,17.060001,682.0,5.495,4.0
1469,2022-07-17 13:00:00,3421.0,711.0,27.92,1011.0,11.6,3.0
1498,2022-07-17 14:00:00,1072.0,572.5,13.48,656.5,5.605,4.0
1541,2022-07-17 15:00:00,1444.5,291.0,17.04,417.0,12.47,3.0
1542,2022-07-17 15:00:00,999.0,491.0,10.16,648.0,5.54,4.0
1546,2022-07-17 16:00:00,1386.5,234.5,18.235,346.5,13.74,3.0
1588,2022-07-17 17:00:00,2039.0,613.5,12.18,771.0,9.514999,3.0
